City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Roma,43.2128,-75.4557,86.95,67,75,10.36,US,2022-07-21 19:10:18
1,Ushuaia,-54.8,-68.3,31.66,86,40,23.02,AR,2022-07-21 19:07:18
2,Tuatapere,-46.1333,167.6833,43.5,90,100,1.28,NZ,2022-07-21 19:11:59
3,Rio Grande,-32.035,-52.0986,66.31,97,100,4.23,BR,2022-07-21 19:11:59
4,Khatanga,71.9667,102.5,49.91,81,100,11.77,RU,2022-07-21 19:06:18
5,Upernavik,72.7868,-56.1549,47.03,87,100,10.78,GL,2022-07-21 19:06:19
6,Rikitea,-23.1203,-134.9692,74.71,77,74,19.04,PF,2022-07-21 19:06:27
7,Cairns,-16.9167,145.7667,67.06,97,4,5.19,AU,2022-07-21 19:12:00
8,Punta Arenas,-53.15,-70.9167,35.71,77,40,28.77,CL,2022-07-21 19:04:15
9,Cape Town,-33.9258,18.4232,61.38,78,100,4.0,ZA,2022-07-21 19:07:17
10,Busselton,-33.65,115.3333,57.88,77,58,12.06,AU,2022-07-21 19:06:27
11,Saint-Philippe,-21.3585,55.7679,65.79,81,39,14.25,RE,2022-07-21 19:06:22
12,Mar Del Plata,-38.0023,-57.5575,54.95,36,97,14.0,AR,2022-07-21 19:03:12
13,Castro,-24.7911,-50.0119,70.7,60,16,5.7,BR,2022-07-21 19:06:16
14,Tiksi,71.6872,128.8694,40.91,84,84,11.5,RU,2022-07-21 19:10:42
15,Albany,42.6001,-73.9662,96.58,42,8,4.0,US,2022-07-21 19:06:07
16,Landau,49.2075,8.1133,78.62,52,13,3.71,DE,2022-07-21 19:12:01
17,Atuona,-9.8,-139.0333,77.47,74,18,16.2,PF,2022-07-21 19:07:33
18,Verkhnevilyuysk,63.4453,120.3167,54.0,98,99,6.38,RU,2022-07-21 19:12:01
19,Hobart,-42.8794,147.3294,39.27,91,3,1.99,AU,2022-07-21 19:05:37
20,Angoche,-16.2325,39.9086,72.18,72,0,4.7,MZ,2022-07-21 19:12:02
21,Bosaso,11.2842,49.1816,91.53,42,49,12.53,SO,2022-07-21 19:12:03
22,Kapaa,22.0752,-159.319,80.19,74,75,18.41,US,2022-07-21 19:07:36
23,Aden,12.7794,45.0367,85.23,62,9,3.11,YE,2022-07-21 19:12:03
24,Vaini,-21.2,-175.2,73.85,77,28,10.87,TO,2022-07-21 19:06:24
25,Hilo,19.7297,-155.09,79.29,99,75,10.36,US,2022-07-21 19:06:25
26,Myanaung,18.2833,95.3167,79.2,87,100,3.85,MM,2022-07-21 19:12:04
27,Lebu,-37.6167,-73.65,53.46,78,97,8.57,CL,2022-07-21 19:08:55
28,Dikson,73.5069,80.5464,43.09,95,100,21.39,RU,2022-07-21 19:07:36
29,Vardo,70.3705,31.1107,57.18,88,0,5.75,NO,2022-07-21 19:12:05
30,Kodiak,57.79,-152.4072,56.71,82,75,8.05,US,2022-07-21 19:06:18
31,Kilindoni,-7.9139,39.6668,75.88,72,0,16.53,TZ,2022-07-21 19:12:05
32,Bafoulabe,13.8065,-10.8321,80.33,81,100,2.95,ML,2022-07-21 19:07:24
33,Bredasdorp,-34.5322,20.0403,48.38,87,100,0.72,ZA,2022-07-21 19:07:31
34,Pafos,34.7667,32.4167,82.18,69,0,6.91,CY,2022-07-21 19:10:54
35,Ponta Do Sol,32.6667,-17.1,76.71,78,3,6.2,PT,2022-07-21 19:10:44
36,Georgetown,5.4112,100.3354,83.89,85,20,0.0,MY,2022-07-21 19:05:47
37,Sur,22.5667,59.5289,87.19,71,93,12.66,OM,2022-07-21 19:12:07
